fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	extra_trees	early_stopping_rounds	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220831 210315	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	693	TRUE	TRUE	386	0.0140214200599484	0.404303708694116	238	134	0.468211499301339	184
20220831 210330	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	831	TRUE	TRUE	467	0.0114325054722033	0.706884120960315	266	704	0.469690654309964	185
20220831 210340	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	765	TRUE	TRUE	304	0.0182376063212043	0.779939784121575	607	620	0.463910084093269	186
20220831 210350	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	686	TRUE	TRUE	430	0.0124783179471163	0.511414336110413	349	462	0.468055566119884	187
20220831 210356	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	289	TRUE	TRUE	180	0.0332855306022021	0.442591554257279	279	763	0.471649845946116	188
20220831 210402	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	367	TRUE	TRUE	224	0.0257259326885857	0.465403628209928	46	10	0.467262402862438	189
20220831 210415	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	975	TRUE	TRUE	523	0.0101228703572241	0.528307785560869	440	805	0.468386289206607	190
20220831 210423	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	399	TRUE	TRUE	334	0.0164235536531971	0.556353429867185	98	18	0.469572296157069	191
20220831 210431	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	819	TRUE	TRUE	298	0.0186373725208404	0.222764903113828	291	731	0.46492148538927	192
20220831 210435	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	206	TRUE	TRUE	122	0.053818965561168	0.422673972378444	323	998	0.464452086475708	193
