fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220831 165152	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	354	TRUE	0.0203712351811836	0.751632639570546	324	578	0.466112618064142	101
20220831 165154	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	36	TRUE	0.299942812375883	0.200523824263377	647	706	0.447175458856718	102
20220831 165156	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	17	TRUE	0.299875341930707	0.738137509020084	655	263	0.448824478945779	103
20220831 165159	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	67	TRUE	0.0698693688377914	0.630681586875557	444	1024	0.462122878445576	104
20220831 165224	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	3444	TRUE	0.0100347833398615	0.746394940939161	2131	285	0.430169189355193	105
20220831 165228	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	240	TRUE	0.0606145925999784	0.730782861902286	1311	10	0.453276023667001	106
20220831 165231	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	131	TRUE	0.128407464381326	0.258523165253016	1247	577	0.454352034573668	107
20220831 165233	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	45	TRUE	0.259668788751559	0.992658206846385	1205	10	0.453850115324259	108
20220831 165235	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	26	TRUE	0.235625799031604	0.945372648552743	590	678	0.463494352164468	109
20220831 165238	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	51	TRUE	0.119403885026859	0.744153943631332	533	701	0.46595992461728	110
20220831 165240	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	54	TRUE	0.231075218244592	0.738561412822351	1187	548	0.454431920871059	111
20220831 165250	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	497	TRUE	0.0100276425744094	0.457026910852435	308	454	0.467579583376738	112
20220831 165254	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	233	TRUE	0.12597997753972	0.768654528893903	1782	10	0.441311922901635	113
20220831 165256	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	42	TRUE	0.247948084410387	0.202116866754952	705	10	0.449274370976221	114
20220831 165258	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	259	TRUE	0.299610660793645	0.2006883167448	2366	1023	0.417994785583807	115
20220831 165321	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	2508	TRUE	0.0103919611691439	0.999126138432356	1719	1024	0.444860976138456	116
